experiment,config,run,prompt_tokens_target,max_tokens,ttft_ms,total_ms,status_code,prompt_tokens_actual,completion_tokens,error
exp1,BASELINE,1,10,20,201.48,201.53,200,13,20,
exp1,BASELINE,2,10,20,200.69,200.75,200,13,20,
exp1,BASELINE,3,10,20,201.71,201.77,200,13,20,
exp1,BASELINE,4,10,20,202.11,202.16,200,13,20,
exp1,BASELINE,5,10,20,201.38,201.44,200,13,20,
exp1,BASELINE,6,10,20,202.49,202.54,200,13,20,
exp1,BASELINE,7,10,20,201.44,201.48,200,13,20,
exp1,BASELINE,8,10,20,201.32,201.36,200,13,20,
exp1,BASELINE,9,10,20,202.49,202.54,200,13,20,
exp1,BASELINE,10,10,20,202.2,202.25,200,13,20,
exp1,BASELINE,11,10,20,202.02,202.07,200,13,20,
exp1,BASELINE,12,10,20,202.32,202.37,200,13,20,
exp1,BASELINE,13,10,20,202.73,202.78,200,13,20,
exp1,BASELINE,14,10,20,203.12,203.17,200,13,20,
exp1,BASELINE,15,10,20,202.74,202.79,200,13,20,
exp1,BASELINE,16,10,20,201.48,201.53,200,13,20,
exp1,BASELINE,17,10,20,202.41,202.45,200,13,20,
exp1,BASELINE,18,10,20,202.44,202.49,200,13,20,
exp1,BASELINE,19,10,20,201.66,201.71,200,13,20,
exp1,BASELINE,20,10,20,202.35,202.4,200,13,20,
exp1,DISAGG-D1,1,10,20,176.41,176.44,200,13,12,
exp1,DISAGG-D1,2,10,20,253.73,253.75,200,13,20,
exp1,DISAGG-D1,3,10,20,254.29,254.32,200,13,20,
exp1,DISAGG-D1,4,10,20,255.24,255.27,200,13,20,
exp1,DISAGG-D1,5,10,20,82.35,82.38,200,13,2,
exp1,DISAGG-D1,6,10,20,255.17,255.2,200,13,20,
exp1,DISAGG-D1,7,10,20,111.72,111.74,200,13,5,
exp1,DISAGG-D1,8,10,20,255.51,255.53,200,13,20,
exp1,DISAGG-D1,9,10,20,262.44,262.47,200,13,20,
exp1,DISAGG-D1,10,10,20,258.14,258.17,200,13,20,
exp1,DISAGG-D1,11,10,20,259.25,259.27,200,13,20,
exp1,DISAGG-D1,12,10,20,248.45,248.48,200,13,19,
exp1,DISAGG-D1,13,10,20,260.94,260.97,200,13,20,
exp1,DISAGG-D1,14,10,20,261.42,261.45,200,13,20,
exp1,DISAGG-D1,15,10,20,261.92,261.95,200,13,20,
exp1,DISAGG-D1,16,10,20,257.41,257.43,200,13,20,
exp1,DISAGG-D1,17,10,20,261.55,261.57,200,13,20,
exp1,DISAGG-D1,18,10,20,260.33,260.36,200,13,20,
exp1,DISAGG-D1,19,10,20,260.62,260.64,200,13,20,
exp1,DISAGG-D1,20,10,20,261.14,261.17,200,13,20,
exp1,DISAGG-D2,1,10,20,254.46,254.48,200,13,20,
exp1,DISAGG-D2,2,10,20,253.56,253.59,200,13,20,
exp1,DISAGG-D2,3,10,20,254.73,254.75,200,13,20,
exp1,DISAGG-D2,4,10,20,254.73,254.75,200,13,20,
exp1,DISAGG-D2,5,10,20,253.64,253.67,200,13,20,
exp1,DISAGG-D2,6,10,20,167.19,167.22,200,13,11,
exp1,DISAGG-D2,7,10,20,254.98,255.01,200,13,20,
exp1,DISAGG-D2,8,10,20,257.84,257.87,200,13,20,
exp1,DISAGG-D2,9,10,20,256.14,256.16,200,13,20,
exp1,DISAGG-D2,10,10,20,255.65,255.68,200,13,20,
exp1,DISAGG-D2,11,10,20,254.98,255.0,200,13,20,
exp1,DISAGG-D2,12,10,20,254.8,254.83,200,13,20,
exp1,DISAGG-D2,13,10,20,255.49,255.51,200,13,20,
exp1,DISAGG-D2,14,10,20,255.76,255.79,200,13,20,
exp1,DISAGG-D2,15,10,20,262.66,262.68,200,13,20,
exp1,DISAGG-D2,16,10,20,256.37,256.4,200,13,20,
exp1,DISAGG-D2,17,10,20,255.34,255.36,200,13,20,
exp1,DISAGG-D2,18,10,20,256.69,256.72,200,13,20,
exp1,DISAGG-D2,19,10,20,236.08,236.1,200,13,18,
exp1,DISAGG-D2,20,10,20,255.41,255.43,200,13,20,
exp1,BASELINE,1,50,20,203.87,203.89,200,61,20,
exp1,BASELINE,2,50,20,205.38,205.41,200,61,20,
exp1,BASELINE,3,50,20,207.11,207.15,200,61,20,
exp1,BASELINE,4,50,20,35.42,35.45,200,61,1,
exp1,BASELINE,5,50,20,208.46,208.49,200,61,20,
exp1,BASELINE,6,50,20,206.72,206.74,200,61,20,
exp1,BASELINE,7,50,20,205.56,205.59,200,61,20,
exp1,BASELINE,8,50,20,203.68,203.71,200,61,20,
exp1,BASELINE,9,50,20,206.25,206.28,200,61,20,
exp1,BASELINE,10,50,20,205.76,205.79,200,61,20,
exp1,BASELINE,11,50,20,205.22,205.25,200,61,20,
exp1,BASELINE,12,50,20,204.92,204.95,200,61,20,
exp1,BASELINE,13,50,20,205.68,205.7,200,61,20,
exp1,BASELINE,14,50,20,204.81,204.84,200,61,20,
exp1,BASELINE,15,50,20,206.27,206.3,200,61,20,
exp1,BASELINE,16,50,20,205.48,205.51,200,61,20,
exp1,BASELINE,17,50,20,205.13,205.16,200,61,20,
exp1,BASELINE,18,50,20,204.8,204.82,200,61,20,
exp1,BASELINE,19,50,20,205.92,205.94,200,61,20,
exp1,BASELINE,20,50,20,205.83,205.85,200,61,20,
exp1,DISAGG-D1,1,50,20,258.48,258.52,200,61,20,
exp1,DISAGG-D1,2,50,20,258.78,258.81,200,61,20,
exp1,DISAGG-D1,3,50,20,258.8,258.82,200,61,20,
exp1,DISAGG-D1,4,50,20,258.9,258.94,200,61,20,
exp1,DISAGG-D1,5,50,20,265.28,265.3,200,61,20,
exp1,DISAGG-D1,6,50,20,265.08,265.11,200,61,20,
exp1,DISAGG-D1,7,50,20,262.0,262.02,200,61,20,
exp1,DISAGG-D1,8,50,20,263.13,263.17,200,61,20,
exp1,DISAGG-D1,9,50,20,265.08,265.11,200,61,20,
exp1,DISAGG-D1,10,50,20,262.91,262.93,200,61,20,
exp1,DISAGG-D1,11,50,20,77.67,77.7,200,61,1,
exp1,DISAGG-D1,12,50,20,262.95,262.98,200,61,20,
exp1,DISAGG-D1,13,50,20,263.36,263.39,200,61,20,
exp1,DISAGG-D1,14,50,20,263.62,263.65,200,61,20,
exp1,DISAGG-D1,15,50,20,262.69,262.71,200,61,20,
exp1,DISAGG-D1,16,50,20,264.17,264.19,200,61,20,
exp1,DISAGG-D1,17,50,20,262.89,262.92,200,61,20,
exp1,DISAGG-D1,18,50,20,263.76,263.78,200,61,20,
exp1,DISAGG-D1,19,50,20,262.71,262.73,200,61,20,
exp1,DISAGG-D1,20,50,20,264.71,264.73,200,61,20,
exp1,DISAGG-D2,1,50,20,259.69,259.71,200,61,20,
exp1,DISAGG-D2,2,50,20,257.33,257.35,200,61,20,
exp1,DISAGG-D2,3,50,20,257.88,257.9,200,61,20,
exp1,DISAGG-D2,4,50,20,257.42,257.45,200,61,20,
exp1,DISAGG-D2,5,50,20,260.25,260.28,200,61,20,
