experiment,config,run,ttft_ms,total_ms,status_code,completion_tokens
exp1b,A-prefill-direct,1,203.4,203.5,200,20
exp1b,A-prefill-direct,2,205.3,205.4,200,20
exp1b,A-prefill-direct,3,205.1,205.2,200,20
exp1b,A-prefill-direct,4,203.5,203.6,200,20
exp1b,A-prefill-direct,5,203.7,203.8,200,20
exp1b,A-prefill-direct,6,202.8,202.9,200,20
exp1b,A-prefill-direct,7,204.0,204.1,200,20
exp1b,A-prefill-direct,8,203.5,203.7,200,20
exp1b,A-prefill-direct,9,203.3,203.4,200,20
exp1b,A-prefill-direct,10,203.7,203.8,200,20
exp1b,A-prefill-direct,11,203.5,203.7,200,20
exp1b,A-prefill-direct,12,203.2,203.3,200,20
exp1b,A-prefill-direct,13,206.1,206.2,200,20
exp1b,A-prefill-direct,14,203.9,204.0,200,20
exp1b,A-prefill-direct,15,203.9,204.0,200,20
exp1b,A-prefill-direct,16,204.3,204.4,200,20
exp1b,A-prefill-direct,17,28.6,28.7,200,2
exp1b,A-prefill-direct,18,203.9,204.0,200,20
exp1b,A-prefill-direct,19,204.2,204.3,200,20
exp1b,A-prefill-direct,20,204.1,204.2,200,20
exp1b,A-prefill-direct,21,203.1,203.3,200,20
exp1b,A-prefill-direct,22,205.6,205.8,200,20
exp1b,A-prefill-direct,23,203.9,204.1,200,20
exp1b,A-prefill-direct,24,203.5,203.6,200,20
exp1b,A-prefill-direct,25,203.7,203.8,200,20
exp1b,A-prefill-direct,26,204.2,204.3,200,20
exp1b,A-prefill-direct,27,203.8,203.9,200,20
exp1b,A-prefill-direct,28,203.9,204.0,200,20
exp1b,A-prefill-direct,29,203.4,203.5,200,20
exp1b,A-prefill-direct,30,205.2,205.3,200,20
exp1b,B-decode-direct,1,203.5,203.6,200,20
exp1b,B-decode-direct,2,204.2,204.3,200,20
exp1b,B-decode-direct,3,203.6,203.7,200,20
exp1b,B-decode-direct,4,205.6,205.7,200,20
exp1b,B-decode-direct,5,204.4,204.5,200,20
exp1b,B-decode-direct,6,204.7,204.8,200,20
exp1b,B-decode-direct,7,204.7,204.8,200,20
exp1b,B-decode-direct,8,203.5,203.6,200,20
exp1b,B-decode-direct,9,204.7,204.9,200,20
exp1b,B-decode-direct,10,204.9,205.0,200,20
exp1b,B-decode-direct,11,204.5,204.6,200,20
exp1b,B-decode-direct,12,205.4,205.5,200,20
exp1b,B-decode-direct,13,204.5,204.6,200,20
exp1b,B-decode-direct,14,204.8,204.9,200,20
exp1b,B-decode-direct,15,203.7,203.8,200,20
exp1b,B-decode-direct,16,204.2,204.3,200,20
exp1b,B-decode-direct,17,204.5,204.6,200,20
exp1b,B-decode-direct,18,205.5,205.6,200,20
exp1b,B-decode-direct,19,203.6,203.7,200,20
exp1b,B-decode-direct,20,205.7,205.8,200,20
exp1b,B-decode-direct,21,205.5,205.6,200,20
exp1b,B-decode-direct,22,206.0,206.1,200,20
exp1b,B-decode-direct,23,206.4,206.5,200,20
exp1b,B-decode-direct,24,205.4,205.5,200,20
exp1b,B-decode-direct,25,203.7,203.8,200,20
exp1b,B-decode-direct,26,145.9,146.0,200,14
exp1b,B-decode-direct,27,206.9,207.0,200,20
exp1b,B-decode-direct,28,20.1,20.2,200,1
exp1b,B-decode-direct,29,207.0,207.1,200,20
exp1b,B-decode-direct,30,207.4,207.5,200,20
exp1b,C-sidecar-only,1,220.1,220.2,200,20
exp1b,C-sidecar-only,2,244.7,244.8,200,20
exp1b,C-sidecar-only,3,221.7,221.8,200,20
exp1b,C-sidecar-only,4,49.8,49.9,200,1
exp1b,C-sidecar-only,5,222.2,222.3,200,20
exp1b,C-sidecar-only,6,239.3,239.4,200,20
exp1b,C-sidecar-only,7,222.6,222.7,200,20
exp1b,C-sidecar-only,8,221.4,221.5,200,20
exp1b,C-sidecar-only,9,223.0,223.1,200,20
exp1b,C-sidecar-only,10,222.6,222.7,200,20
exp1b,C-sidecar-only,11,254.8,254.9,200,20
exp1b,C-sidecar-only,12,273.7,273.8,200,20
exp1b,C-sidecar-only,13,288.0,288.1,200,20
exp1b,C-sidecar-only,14,284.4,284.5,200,20
exp1b,C-sidecar-only,15,253.6,253.7,200,17
exp1b,C-sidecar-only,16,224.6,224.7,200,20
exp1b,C-sidecar-only,17,222.3,222.4,200,20
exp1b,C-sidecar-only,18,223.8,223.9,200,20
exp1b,C-sidecar-only,19,222.8,222.9,200,20
