experiment,config,run,concurrency,ttft_ms,total_ms,status_code,target,error
exp2,BASELINE,1,1,308.34,308.37,200,d1,
exp2,BASELINE,2,1,306.25,306.28,200,d1,
exp2,BASELINE,3,1,306.62,306.65,200,d1,
exp2,BASELINE,4,1,304.96,304.99,200,d1,
exp2,BASELINE,5,1,309.03,309.06,200,d1,
exp2,BASELINE,6,1,306.4,306.43,200,d1,
exp2,BASELINE,7,1,307.46,307.49,200,d1,
exp2,BASELINE,8,1,311.35,311.38,200,d1,
exp2,BASELINE,9,1,313.51,313.54,200,d1,
exp2,BASELINE,10,1,306.52,306.54,200,d1,
exp2,BASELINE,11,1,309.27,309.29,200,d1,
exp2,BASELINE,12,1,311.29,311.31,200,d1,
exp2,BASELINE,13,1,308.16,308.19,200,d1,
exp2,BASELINE,14,1,311.65,311.68,200,d1,
exp2,BASELINE,15,1,307.27,307.3,200,d1,
exp2,BASELINE,16,1,312.36,312.38,200,d1,
exp2,BASELINE,17,1,311.21,311.23,200,d1,
exp2,BASELINE,18,1,310.0,310.02,200,d1,
exp2,BASELINE,19,1,312.49,312.52,200,d1,
exp2,BASELINE,20,1,311.49,311.51,200,d1,
exp2,DISAGG-1D,1,1,73.01,73.04,200,d1,
exp2,DISAGG-1D,2,1,371.51,371.55,200,d1,
exp2,DISAGG-1D,3,1,379.71,379.74,200,d1,
exp2,DISAGG-1D,4,1,385.5,385.54,200,d1,
exp2,DISAGG-1D,5,1,387.09,387.14,200,d1,
exp2,DISAGG-1D,6,1,390.81,390.86,200,d1,
exp2,DISAGG-1D,7,1,78.76,78.79,200,d1,
exp2,DISAGG-1D,8,1,384.48,384.54,200,d1,
exp2,DISAGG-1D,9,1,385.69,385.74,200,d1,
exp2,DISAGG-1D,10,1,389.46,389.5,200,d1,
exp2,DISAGG-1D,11,1,387.13,387.18,200,d1,
exp2,DISAGG-1D,12,1,390.26,390.32,200,d1,
exp2,DISAGG-1D,13,1,395.31,395.37,200,d1,
exp2,DISAGG-1D,14,1,385.78,385.83,200,d1,
exp2,DISAGG-1D,15,1,388.87,388.92,200,d1,
exp2,DISAGG-1D,16,1,388.95,389.0,200,d1,
exp2,DISAGG-1D,17,1,389.51,389.56,200,d1,
exp2,DISAGG-1D,18,1,390.51,390.56,200,d1,
exp2,DISAGG-1D,19,1,395.68,395.74,200,d1,
exp2,DISAGG-1D,20,1,393.8,393.86,200,d1,
exp2,DISAGG-2D,1,1,390.29,390.36,200,d1,
exp2,DISAGG-2D,2,1,358.62,358.67,200,d2,
exp2,DISAGG-2D,3,1,391.39,391.44,200,d1,
exp2,DISAGG-2D,4,1,357.19,357.24,200,d2,
exp2,DISAGG-2D,5,1,334.3,334.34,200,d1,
exp2,DISAGG-2D,6,1,361.13,361.18,200,d2,
exp2,DISAGG-2D,7,1,398.12,398.17,200,d1,
exp2,DISAGG-2D,8,1,359.42,359.46,200,d2,
exp2,DISAGG-2D,9,1,336.74,336.8,200,d1,
exp2,DISAGG-2D,10,1,359.44,359.48,200,d2,
exp2,DISAGG-2D,11,1,386.9,386.95,200,d1,
exp2,DISAGG-2D,12,1,359.91,359.95,200,d2,
exp2,DISAGG-2D,13,1,398.86,398.91,200,d1,
exp2,DISAGG-2D,14,1,310.0,310.05,200,d2,
exp2,DISAGG-2D,15,1,120.19,120.23,200,d1,
exp2,DISAGG-2D,16,1,358.31,358.37,200,d2,
exp2,DISAGG-2D,17,1,390.19,390.24,200,d1,
exp2,DISAGG-2D,18,1,359.34,359.39,200,d2,
exp2,DISAGG-2D,19,1,378.77,378.83,200,d1,
exp2,DISAGG-2D,20,1,362.54,362.59,200,d2,
exp2,BASELINE,1,2,314.73,314.76,200,d1,
exp2,BASELINE,2,2,334.33,334.38,200,d1,
exp2,BASELINE,3,2,324.82,324.85,200,d1,
exp2,BASELINE,4,2,333.87,333.91,200,d1,
exp2,BASELINE,5,2,325.27,325.3,200,d1,
exp2,BASELINE,6,2,334.29,334.34,200,d1,
exp2,BASELINE,7,2,324.31,324.34,200,d1,
exp2,BASELINE,8,2,333.36,333.41,200,d1,
exp2,BASELINE,9,2,324.84,324.87,200,d1,
exp2,BASELINE,10,2,333.76,333.8,200,d1,
exp2,BASELINE,11,2,323.58,323.61,200,d1,
exp2,BASELINE,12,2,332.71,332.75,200,d1,
exp2,BASELINE,13,2,324.2,324.23,200,d1,
exp2,BASELINE,14,2,333.23,333.28,200,d1,
exp2,BASELINE,15,2,323.57,323.59,200,d1,
exp2,BASELINE,16,2,332.56,332.6,200,d1,
exp2,BASELINE,17,2,324.5,324.54,200,d1,
exp2,BASELINE,18,2,333.87,333.91,200,d1,
exp2,BASELINE,19,2,325.03,325.06,200,d1,
exp2,BASELINE,20,2,334.21,334.25,200,d1,
exp2,DISAGG-1D,1,2,550.89,550.92,200,d1,
exp2,DISAGG-1D,2,2,569.43,569.48,200,d1,
exp2,DISAGG-1D,3,2,398.39,398.42,200,d1,
exp2,DISAGG-1D,4,2,416.92,416.95,200,d1,
exp2,DISAGG-1D,5,2,516.07,516.11,200,d1,
exp2,DISAGG-1D,6,2,467.75,467.78,200,d1,
exp2,DISAGG-1D,7,2,584.63,584.68,200,d1,
exp2,DISAGG-1D,8,2,357.84,357.88,200,d1,
exp2,DISAGG-1D,9,2,470.39,470.42,200,d1,
exp2,DISAGG-1D,10,2,508.52,508.57,200,d1,
exp2,DISAGG-1D,11,2,502.98,503.02,200,d1,
exp2,DISAGG-1D,12,2,433.75,433.78,200,d1,
exp2,DISAGG-1D,13,2,497.5,497.54,200,d1,
exp2,DISAGG-1D,14,2,448.7,448.73,200,d1,
exp2,DISAGG-1D,15,2,466.67,466.69,200,d1,
exp2,DISAGG-1D,16,2,514.06,514.1,200,d1,
exp2,DISAGG-1D,17,2,432.3,432.33,200,d1,
exp2,DISAGG-1D,18,2,480.42,480.47,200,d1,
exp2,DISAGG-1D,19,2,443.48,443.52,200,d1,
exp2,DISAGG-1D,20,2,491.6,491.65,200,d1,
exp2,DISAGG-2D,1,2,473.63,473.69,200,d1,
exp2,DISAGG-2D,2,2,164.91,164.94,200,d2,
exp2,DISAGG-2D,3,2,483.1,483.14,200,d1,
exp2,DISAGG-2D,4,2,465.09,465.11,200,d2,
exp2,DISAGG-2D,5,2,431.08,431.11,200,d1,
exp2,DISAGG-2D,6,2,406.09,406.11,200,d2,
exp2,DISAGG-2D,7,2,417.75,417.79,200,d1,
exp2,DISAGG-2D,8,2,374.68,374.71,200,d2,
exp2,DISAGG-2D,9,2,565.55,565.6,200,d1,
exp2,DISAGG-2D,10,2,516.14,516.17,200,d2,
exp2,DISAGG-2D,11,2,517.04,517.1,200,d1,
exp2,DISAGG-2D,12,2,468.89,468.91,200,d2,
exp2,DISAGG-2D,13,2,162.52,162.54,200,d1,
exp2,DISAGG-2D,14,2,453.68,453.72,200,d2,
exp2,DISAGG-2D,15,2,418.85,418.9,200,d1,
exp2,DISAGG-2D,16,2,386.71,386.74,200,d2,
exp2,DISAGG-2D,17,2,498.76,498.8,200,d1,
exp2,DISAGG-2D,18,2,474.88,474.9,200,d2,
exp2,DISAGG-2D,19,2,399.57,399.61,200,d1,
exp2,DISAGG-2D,20,2,383.74,383.77,200,d2,
exp2,BASELINE,1,4,332.58,332.61,200,d1,
