experiment,config,trial,weight,idx,ttft_ms,total_ms,status_code,completion_tokens,itl_ms,error
exp3,BASELINE,1,heavy,0,45.96,545.73,200,50,10.2,
exp3,BASELINE,1,light,1,45.93,249.54,200,20,10.71,
exp3,BASELINE,1,light,2,35.44,238.03,200,20,10.66,
exp3,BASELINE,1,light,3,44.42,248.1,200,20,10.72,
exp3,BASELINE,1,light,4,44.31,248.28,200,20,10.73,
exp3,BASELINE,1,light,5,44.04,247.51,200,20,10.71,
exp3,BASELINE,2,heavy,0,29.85,534.38,200,50,10.3,
exp3,BASELINE,2,light,1,38.13,244.3,200,20,10.85,
exp3,BASELINE,2,light,2,48.19,255.4,200,20,10.9,
exp3,BASELINE,2,light,3,47.68,254.63,200,20,10.89,
exp3,BASELINE,2,light,4,47.43,254.36,200,20,10.89,
exp3,BASELINE,2,light,5,47.23,254.22,200,20,10.89,
exp3,BASELINE,3,heavy,0,46.06,549.05,200,50,10.26,
exp3,BASELINE,3,light,1,45.62,248.77,200,20,10.69,
exp3,BASELINE,3,light,2,35.94,95.63,200,6,9.74,
exp3,BASELINE,3,light,3,44.74,247.47,200,20,10.67,
exp3,BASELINE,3,light,4,44.21,246.92,200,20,10.67,
exp3,BASELINE,3,light,5,44.27,247.1,200,20,10.67,
exp3,BASELINE,4,heavy,0,32.44,538.77,200,50,10.33,
exp3,BASELINE,4,light,1,40.66,248.55,200,20,10.94,
exp3,BASELINE,4,light,2,40.18,248.41,200,20,10.96,
exp3,BASELINE,4,light,3,39.45,247.22,200,20,10.93,
exp3,BASELINE,4,light,4,39.29,247.25,200,20,10.94,
exp3,BASELINE,4,light,5,39.07,246.56,200,20,10.92,
exp3,BASELINE,5,heavy,0,32.05,538.2,200,50,10.33,
exp3,BASELINE,5,light,1,40.01,247.11,200,20,10.9,
exp3,BASELINE,5,light,2,39.58,247.22,200,20,10.93,
exp3,BASELINE,5,light,3,39.5,39.5,200,0,0,
exp3,BASELINE,5,light,4,38.7,245.88,200,20,10.9,
exp3,BASELINE,5,light,5,38.67,245.64,200,20,10.89,
exp3,BASELINE,6,heavy,0,49.99,555.39,200,50,10.31,
exp3,BASELINE,6,light,1,42.25,243.06,200,20,10.57,
exp3,BASELINE,6,light,2,48.85,253.21,200,20,10.75,
exp3,BASELINE,6,light,3,48.72,252.62,200,20,10.73,
exp3,BASELINE,6,light,4,41.28,241.74,200,20,10.55,
exp3,BASELINE,6,light,5,47.89,251.76,200,20,10.73,
exp3,BASELINE,7,heavy,0,33.74,541.62,200,50,10.36,
exp3,BASELINE,7,light,1,42.26,250.81,200,20,10.97,
exp3,BASELINE,7,light,2,41.62,250.33,200,20,10.98,
exp3,BASELINE,7,light,3,41.46,250.2,200,20,10.99,
exp3,BASELINE,7,light,4,40.68,249.37,200,20,10.98,
exp3,BASELINE,7,light,5,40.53,51.48,200,1,0,
exp3,BASELINE,8,heavy,0,33.25,529.37,200,48,10.33,
exp3,BASELINE,8,light,1,43.58,249.53,200,20,10.84,
exp3,BASELINE,8,light,2,43.15,249.3,200,20,10.85,
exp3,BASELINE,8,light,3,42.66,248.54,200,20,10.83,
exp3,BASELINE,8,light,4,42.21,248.08,200,20,10.83,
exp3,BASELINE,8,light,5,50.75,257.37,200,20,10.87,
exp3,BASELINE,9,heavy,0,32.48,545.19,200,50,10.46,
exp3,BASELINE,9,light,1,42.46,250.79,200,20,10.96,
exp3,BASELINE,9,light,2,42.08,250.62,200,16,13.9,
exp3,BASELINE,9,light,3,41.83,250.08,200,20,10.96,
exp3,BASELINE,9,light,4,51.17,259.55,200,20,10.97,
exp3,BASELINE,9,light,5,50.6,259.17,200,20,10.98,
exp3,BASELINE,10,heavy,0,34.34,543.47,200,50,10.39,
exp3,BASELINE,10,light,1,40.99,250.08,200,20,11.0,
exp3,BASELINE,10,light,2,40.4,249.55,200,20,11.01,
exp3,BASELINE,10,light,3,40.11,248.87,200,20,10.99,
exp3,BASELINE,10,light,4,39.57,248.41,200,20,10.99,
exp3,BASELINE,10,light,5,38.93,248.11,200,20,11.01,
exp3,DISAGG-2D,1,heavy,0,1907.7,1907.7,200,0,0,
exp3,DISAGG-2D,1,light,1,1810.13,2042.84,200,20,12.25,
exp3,DISAGG-2D,1,light,2,1875.89,2114.57,200,20,12.56,
exp3,DISAGG-2D,1,light,3,1879.77,1932.05,200,4,13.11,
exp3,DISAGG-2D,1,light,4,1850.59,2091.58,200,20,12.68,
exp3,DISAGG-2D,1,light,5,1905.51,2116.87,200,20,11.12,
exp3,DISAGG-2D,2,heavy,0,1996.92,2529.99,200,50,10.88,
exp3,DISAGG-2D,2,light,1,2057.23,2280.28,200,20,11.74,
exp3,DISAGG-2D,2,light,2,2020.83,2249.91,200,20,12.06,
exp3,DISAGG-2D,2,light,3,2069.53,2290.22,200,20,11.61,
exp3,DISAGG-2D,2,light,4,2044.2,2267.67,200,20,11.76,
exp3,DISAGG-2D,2,light,5,2055.57,2278.63,200,20,11.74,
exp3,DISAGG-2D,3,heavy,0,1861.19,2142.67,200,24,11.76,
exp3,DISAGG-2D,3,light,1,1908.74,2131.32,200,20,11.71,
exp3,DISAGG-2D,3,light,2,1801.6,1967.28,200,20,8.72,
exp3,DISAGG-2D,3,light,3,1947.81,2163.29,200,20,11.34,
exp3,DISAGG-2D,3,light,4,1921.54,2014.05,200,9,10.33,
exp3,DISAGG-2D,3,light,5,1946.72,2162.71,200,20,11.37,
exp3,DISAGG-2D,4,heavy,0,1405.68,1908.45,200,50,10.26,
exp3,DISAGG-2D,4,light,1,1452.05,1658.4,200,20,10.86,
exp3,DISAGG-2D,4,light,2,1414.03,1607.46,200,20,10.18,
exp3,DISAGG-2D,4,light,3,1451.83,1660.76,200,20,10.99,
exp3,DISAGG-2D,4,light,4,1459.37,1653.1,200,20,10.19,
exp3,DISAGG-2D,4,light,5,1461.53,1667.0,200,20,10.81,
exp3,DISAGG-2D,5,heavy,0,1797.76,2299.89,200,50,10.25,
exp3,DISAGG-2D,5,light,1,1834.98,2039.43,200,20,10.76,
exp3,DISAGG-2D,5,light,2,1773.23,2000.95,200,20,11.98,
exp3,DISAGG-2D,5,light,3,1845.32,1889.03,200,4,10.92,
exp3,DISAGG-2D,5,light,4,1839.03,2056.72,200,20,11.46,
exp3,DISAGG-2D,5,light,5,1833.08,1995.01,200,15,10.79,
exp3,DISAGG-2D,6,heavy,0,1920.94,2448.15,200,50,10.76,
exp3,DISAGG-2D,6,light,1,1894.73,2045.76,200,12,12.71,
exp3,DISAGG-2D,6,light,2,1863.99,2101.84,200,20,12.52,
exp3,DISAGG-2D,6,light,3,1958.09,2011.11,200,4,13.21,
exp3,DISAGG-2D,6,light,4,1922.28,2148.05,200,20,11.88,
exp3,DISAGG-2D,6,light,5,1957.06,2175.4,200,20,11.49,
exp3,DISAGG-2D,7,heavy,0,1564.7,2072.48,200,50,10.36,
exp3,DISAGG-2D,7,light,1,1658.4,1861.94,200,20,10.71,
