experiment,config,prompt_tokens_target,run,ttft_ms,total_ms,status_code,prompt_tokens_actual,completion_tokens,error
exp5,A-prefill-direct,10,1,200.28,200.32,200,13,20,
exp5,A-prefill-direct,10,2,199.42,199.45,200,13,20,
exp5,A-prefill-direct,10,3,200.2,200.23,200,13,20,
exp5,A-prefill-direct,10,4,200.23,200.26,200,13,20,
exp5,A-prefill-direct,10,5,199.64,199.67,200,13,20,
exp5,A-prefill-direct,10,6,199.84,199.87,200,13,20,
exp5,A-prefill-direct,10,7,199.56,199.59,200,13,20,
exp5,A-prefill-direct,10,8,199.4,199.42,200,13,20,
exp5,A-prefill-direct,10,9,199.21,199.24,200,13,20,
exp5,A-prefill-direct,10,10,200.14,200.17,200,13,20,
exp5,A-prefill-direct,10,11,200.23,200.26,200,13,20,
exp5,A-prefill-direct,10,12,200.06,200.09,200,13,20,
exp5,A-prefill-direct,10,13,199.98,200.0,200,13,20,
exp5,A-prefill-direct,10,14,201.32,201.35,200,13,20,
exp5,A-prefill-direct,10,15,200.47,200.5,200,13,20,
exp5,A-prefill-direct,10,16,204.29,204.32,200,13,20,
exp5,A-prefill-direct,10,17,204.34,204.37,200,13,20,
exp5,A-prefill-direct,10,18,204.09,204.13,200,13,20,
exp5,A-prefill-direct,10,19,204.19,204.22,200,13,20,
exp5,A-prefill-direct,10,20,203.5,203.53,200,13,20,
exp5,A-prefill-direct,10,21,204.48,204.51,200,13,20,
exp5,A-prefill-direct,10,22,203.54,203.57,200,13,20,
exp5,A-prefill-direct,10,23,204.07,204.1,200,13,20,
exp5,A-prefill-direct,10,24,204.61,204.64,200,13,20,
exp5,A-prefill-direct,10,25,205.72,205.75,200,13,20,
exp5,A-prefill-direct,10,26,203.92,203.95,200,13,20,
exp5,A-prefill-direct,10,27,201.82,201.85,200,13,20,
exp5,A-prefill-direct,10,28,202.5,202.53,200,13,20,
exp5,A-prefill-direct,10,29,202.32,202.34,200,13,20,
exp5,A-prefill-direct,10,30,202.25,202.28,200,13,20,
exp5,B-decode-direct,10,1,204.52,204.55,200,13,20,
exp5,B-decode-direct,10,2,201.9,201.93,200,13,20,
exp5,B-decode-direct,10,3,201.0,201.02,200,13,20,
exp5,B-decode-direct,10,4,201.06,201.09,200,13,20,
exp5,B-decode-direct,10,5,201.05,201.07,200,13,20,
exp5,B-decode-direct,10,6,201.58,201.62,200,13,20,
exp5,B-decode-direct,10,7,201.66,201.69,200,13,20,
exp5,B-decode-direct,10,8,200.45,200.47,200,13,20,
exp5,B-decode-direct,10,9,201.37,201.4,200,13,20,
exp5,B-decode-direct,10,10,201.25,201.27,200,13,20,
exp5,B-decode-direct,10,11,200.55,200.57,200,13,20,
exp5,B-decode-direct,10,12,201.7,201.72,200,13,20,
exp5,B-decode-direct,10,13,201.12,201.15,200,13,20,
exp5,B-decode-direct,10,14,202.36,202.39,200,13,20,
exp5,B-decode-direct,10,15,201.41,201.44,200,13,20,
exp5,B-decode-direct,10,16,201.59,201.62,200,13,20,
exp5,B-decode-direct,10,17,202.94,202.97,200,13,20,
exp5,B-decode-direct,10,18,202.36,202.38,200,13,20,
exp5,B-decode-direct,10,19,202.13,202.15,200,13,20,
exp5,B-decode-direct,10,20,201.11,201.14,200,13,20,
exp5,B-decode-direct,10,21,203.37,203.4,200,13,20,
exp5,B-decode-direct,10,22,202.43,202.46,200,13,20,
exp5,B-decode-direct,10,23,203.44,203.47,200,13,20,
exp5,B-decode-direct,10,24,201.39,201.42,200,13,20,
exp5,B-decode-direct,10,25,202.92,202.95,200,13,20,
exp5,B-decode-direct,10,26,203.84,203.87,200,13,20,
exp5,B-decode-direct,10,27,203.01,203.03,200,13,20,
exp5,B-decode-direct,10,28,203.1,203.13,200,13,20,
exp5,B-decode-direct,10,29,203.17,203.2,200,13,20,
exp5,B-decode-direct,10,30,203.25,203.27,200,13,20,
exp5,C-sidecar-only,10,1,50.6,50.62,200,13,1,
exp5,C-sidecar-only,10,2,232.08,232.11,200,13,20,
exp5,C-sidecar-only,10,3,234.78,234.81,200,13,20,
exp5,C-sidecar-only,10,4,144.25,144.27,200,13,11,
exp5,C-sidecar-only,10,5,232.59,232.62,200,13,20,
exp5,C-sidecar-only,10,6,135.07,135.09,200,13,10,
exp5,C-sidecar-only,10,7,235.37,235.4,200,13,20,
exp5,C-sidecar-only,10,8,234.14,234.17,200,13,20,
exp5,C-sidecar-only,10,9,235.0,235.02,200,13,20,
exp5,C-sidecar-only,10,10,233.62,233.64,200,13,20,
exp5,C-sidecar-only,10,11,233.98,234.01,200,13,20,
exp5,C-sidecar-only,10,12,234.5,234.53,200,13,20,
exp5,C-sidecar-only,10,13,233.56,233.59,200,13,20,
exp5,C-sidecar-only,10,14,233.73,233.76,200,13,20,
exp5,C-sidecar-only,10,15,235.73,235.76,200,13,20,
exp5,C-sidecar-only,10,16,234.45,234.48,200,13,20,
exp5,C-sidecar-only,10,17,233.3,233.33,200,13,20,
exp5,C-sidecar-only,10,18,234.12,234.15,200,13,20,
exp5,C-sidecar-only,10,19,235.28,235.31,200,13,20,
exp5,C-sidecar-only,10,20,234.77,234.8,200,13,20,
exp5,C-sidecar-only,10,21,235.19,235.23,200,13,20,
exp5,C-sidecar-only,10,22,234.42,234.44,200,13,20,
exp5,C-sidecar-only,10,23,236.41,236.44,200,13,20,
exp5,C-sidecar-only,10,24,234.15,234.18,200,13,20,
exp5,C-sidecar-only,10,25,246.07,246.1,200,13,20,
exp5,C-sidecar-only,10,26,245.37,245.4,200,13,20,
exp5,C-sidecar-only,10,27,242.25,242.31,200,13,20,
exp5,C-sidecar-only,10,28,235.97,236.0,200,13,20,
exp5,C-sidecar-only,10,29,235.46,235.49,200,13,20,
exp5,C-sidecar-only,10,30,233.7,233.73,200,13,20,
exp5,D-disaggregated,10,1,262.38,262.41,200,13,20,
exp5,D-disaggregated,10,2,85.94,85.97,200,13,2,
exp5,D-disaggregated,10,3,261.08,261.11,200,13,20,
exp5,D-disaggregated,10,4,261.37,261.42,200,13,20,
exp5,D-disaggregated,10,5,261.51,261.54,200,13,20,
exp5,D-disaggregated,10,6,261.18,261.21,200,13,20,
exp5,D-disaggregated,10,7,261.09,261.11,200,13,20,
exp5,D-disaggregated,10,8,261.49,261.52,200,13,20,
exp5,D-disaggregated,10,9,261.34,261.37,200,13,20,
exp5,D-disaggregated,10,10,263.01,263.04,200,13,20,
exp5,D-disaggregated,10,11,262.26,262.3,200,13,20,
exp5,D-disaggregated,10,12,262.42,262.44,200,13,20,
exp5,D-disaggregated,10,13,264.98,265.01,200,13,20,
exp5,D-disaggregated,10,14,263.42,263.45,200,13,20,
exp5,D-disaggregated,10,15,263.9,263.93,200,13,20,
exp5,D-disaggregated,10,16,262.65,262.68,200,13,20,
exp5,D-disaggregated,10,17,263.37,263.39,200,13,20,
exp5,D-disaggregated,10,18,262.84,262.86,200,13,20,
exp5,D-disaggregated,10,19,263.52,263.55,200,13,20,
exp5,D-disaggregated,10,20,262.94,262.97,200,13,20,
exp5,D-disaggregated,10,21,264.68,264.71,200,13,20,
exp5,D-disaggregated,10,22,260.51,260.54,200,13,20,
exp5,D-disaggregated,10,23,267.51,267.53,200,13,20,
exp5,D-disaggregated,10,24,263.0,263.03,200,13,20,
exp5,D-disaggregated,10,25,265.07,265.1,200,13,20,
exp5,D-disaggregated,10,26,263.63,263.66,200,13,20,
exp5,D-disaggregated,10,27,265.31,265.34,200,13,20,
exp5,D-disaggregated,10,28,263.01,263.04,200,13,20,
exp5,D-disaggregated,10,29,264.34,264.37,200,13,20,
exp5,D-disaggregated,10,30,92.72,92.75,200,13,2,
exp5,A-prefill-direct,50,1,203.23,203.25,200,61,20,
exp5,A-prefill-direct,50,2,203.2,203.22,200,61,20,
exp5,A-prefill-direct,50,3,203.52,203.55,200,61,20,
exp5,A-prefill-direct,50,4,204.52,204.54,200,61,20,
exp5,A-prefill-direct,50,5,204.16,204.19,200,61,20,
exp5,A-prefill-direct,50,6,145.22,145.25,200,61,14,
exp5,A-prefill-direct,50,7,206.96,206.99,200,61,20,
exp5,A-prefill-direct,50,8,203.26,203.28,200,61,20,
exp5,A-prefill-direct,50,9,135.06,135.09,200,61,13,
exp5,A-prefill-direct,50,10,207.99,208.02,200,61,20,
exp5,A-prefill-direct,50,11,47.7,47.75,200,61,4,
exp5,A-prefill-direct,50,12,207.35,207.37,200,61,20,
exp5,A-prefill-direct,50,13,205.11,205.14,200,61,20,
exp5,A-prefill-direct,50,14,203.16,203.19,200,61,20,
exp5,A-prefill-direct,50,15,203.42,203.45,200,61,20,
exp5,A-prefill-direct,50,16,204.51,204.54,200,61,20,
exp5,A-prefill-direct,50,17,203.89,203.92,200,61,20,
exp5,A-prefill-direct,50,18,204.76,204.79,200,61,20,
exp5,A-prefill-direct,50,19,205.07,205.1,200,61,20,
exp5,A-prefill-direct,50,20,204.22,204.24,200,61,20,
exp5,A-prefill-direct,50,21,205.28,205.3,200,61,20,
exp5,A-prefill-direct,50,22,204.63,204.66,200,61,20,
exp5,A-prefill-direct,50,23,203.94,203.97,200,61,20,
exp5,A-prefill-direct,50,24,203.57,203.59,200,61,20,
exp5,A-prefill-direct,50,25,203.68,203.71,200,61,20,
exp5,A-prefill-direct,50,26,205.25,205.28,200,61,20,
exp5,A-prefill-direct,50,27,204.92,204.94,200,61,20,
exp5,A-prefill-direct,50,28,19.75,19.77,200,61,1,
exp5,A-prefill-direct,50,29,207.72,207.74,200,61,20,
exp5,A-prefill-direct,50,30,204.53,204.56,200,61,20,
exp5,B-decode-direct,50,1,208.19,208.22,200,61,20,
exp5,B-decode-direct,50,2,207.81,207.83,200,61,20,
exp5,B-decode-direct,50,3,208.72,208.74,200,61,20,
exp5,B-decode-direct,50,4,207.81,207.85,200,61,20,
exp5,B-decode-direct,50,5,208.25,208.28,200,61,20,
exp5,B-decode-direct,50,6,208.03,208.06,200,61,20,
exp5,B-decode-direct,50,7,209.81,209.83,200,61,20,
exp5,B-decode-direct,50,8,208.13,208.15,200,61,20,
exp5,B-decode-direct,50,9,209.05,209.07,200,61,20,
exp5,B-decode-direct,50,10,209.31,209.34,200,61,20,
exp5,B-decode-direct,50,11,206.52,206.55,200,61,20,
exp5,B-decode-direct,50,12,209.88,209.91,200,61,20,
exp5,B-decode-direct,50,13,209.67,209.7,200,61,20,
exp5,B-decode-direct,50,14,211.42,211.44,200,61,20,
exp5,B-decode-direct,50,15,206.45,206.47,200,61,20,
exp5,B-decode-direct,50,16,208.01,208.04,200,61,20,
exp5,B-decode-direct,50,17,210.53,210.56,200,61,20,
exp5,B-decode-direct,50,18,210.53,210.55,200,61,20,
exp5,B-decode-direct,50,19,210.99,211.02,200,61,20,
exp5,B-decode-direct,50,20,211.69,211.72,200,61,20,
exp5,B-decode-direct,50,21,209.99,210.02,200,61,20,
exp5,B-decode-direct,50,22,211.91,211.94,200,61,20,
exp5,B-decode-direct,50,23,209.46,209.49,200,61,20,
exp5,B-decode-direct,50,24,212.5,212.52,200,61,20,
exp5,B-decode-direct,50,25,210.37,210.4,200,61,20,
exp5,B-decode-direct,50,26,208.21,208.24,200,61,20,
exp5,B-decode-direct,50,27,211.6,211.63,200,61,20,
exp5,B-decode-direct,50,28,211.88,211.92,200,61,20,
exp5,B-decode-direct,50,29,214.38,214.41,200,61,20,
exp5,B-decode-direct,50,30,210.53,210.56,200,61,20,
exp5,C-sidecar-only,50,1,61.28,61.31,200,61,2,
exp5,C-sidecar-only,50,2,240.82,240.85,200,61,20,
exp5,C-sidecar-only,50,3,241.7,241.74,200,61,20,
exp5,C-sidecar-only,50,4,240.72,240.76,200,61,20,
exp5,C-sidecar-only,50,5,241.86,241.89,200,61,20,
exp5,C-sidecar-only,50,6,240.29,240.32,200,61,20,
exp5,C-sidecar-only,50,7,241.35,241.38,200,61,20,
exp5,C-sidecar-only,50,8,241.22,241.25,200,61,20,
exp5,C-sidecar-only,50,9,242.8,242.83,200,61,20,
exp5,C-sidecar-only,50,10,241.71,241.74,200,61,20,
exp5,C-sidecar-only,50,11,242.13,242.15,200,61,20,
