experiment,config,seq,workload_class,prompt_tokens_target,max_tokens,ttft_ms,total_ms,itl_mean_ms,itl_p99_ms,status_code,completion_tokens,scheduled_at_s,depart_delay_ms,error
exp7,BASELINE,1,short,10,20,27.83,216.29,9.92,11.33,200,20,0.255,0.07,
exp7,BASELINE,2,short,10,20,24.15,219.93,10.3,11.27,200,20,0.261,0.06,
exp7,BASELINE,3,short,10,20,35.12,232.03,10.36,11.11,200,20,0.342,0.07,
exp7,BASELINE,4,short,10,20,34.84,224.65,9.99,10.56,200,20,0.405,0.07,
exp7,BASELINE,6,short,10,20,31.4,232.74,10.59,11.08,200,20,1.021,0.07,
exp7,BASELINE,5,long,500,50,22.87,515.14,10.05,11.56,200,50,0.738,0.06,
exp7,BASELINE,10,long,500,50,36.7,36.7,0.0,0.0,200,0,1.745,0.06,
exp7,BASELINE,7,short,10,20,19.31,214.42,10.27,11.81,200,20,1.577,0.07,
exp7,BASELINE,9,short,10,20,35.22,64.6,9.62,10.43,200,3,1.737,0.06,
exp7,BASELINE,8,short,10,20,33.6,232.36,10.46,11.82,200,20,1.6,0.07,
exp7,BASELINE,11,short,10,20,25.89,210.42,9.71,11.9,200,20,1.806,0.06,
exp7,BASELINE,12,short,10,20,34.55,232.91,10.44,11.14,200,20,1.982,0.06,
exp7,BASELINE,13,short,10,20,36.58,236.42,10.52,11.15,200,20,1.989,0.07,
exp7,BASELINE,14,short,10,20,34.63,227.39,10.14,10.64,200,20,2.045,0.06,
exp7,BASELINE,16,short,10,20,27.94,39.08,0.0,0.0,200,1,2.504,0.06,
exp7,BASELINE,17,short,10,20,27.57,228.17,10.56,11.2,200,20,2.566,0.07,
exp7,BASELINE,15,long,500,50,21.97,516.65,10.09,11.58,200,50,2.307,0.06,
exp7,BASELINE,18,short,10,20,35.19,215.99,9.51,10.1,200,20,2.788,0.07,
exp7,BASELINE,19,short,10,20,28.41,217.97,9.97,10.69,200,20,3.203,0.07,
exp7,BASELINE,20,long,500,50,31.03,528.64,10.15,11.7,200,50,3.205,0.07,
exp7,BASELINE,21,short,10,20,32.82,222.4,9.98,11.27,200,20,3.614,0.07,
exp7,BASELINE,22,short,10,20,19.31,208.64,9.96,11.43,200,20,3.914,0.07,
exp7,BASELINE,23,short,10,20,29.25,228.73,10.5,11.2,200,20,4.018,0.07,
exp7,BASELINE,24,short,10,20,30.57,223.53,10.15,10.76,200,20,4.06,0.07,
exp7,BASELINE,28,short,10,20,31.89,42.9,0.0,0.0,200,1,5.0,0.06,
exp7,BASELINE,26,short,10,20,36.35,241.9,10.82,11.63,200,20,4.95,0.06,
exp7,BASELINE,27,short,10,20,34.96,238.13,10.69,11.31,200,20,4.975,0.06,
exp7,BASELINE,25,long,500,50,23.14,393.09,10.3,11.76,200,36,4.848,0.06,
exp7,BASELINE,29,short,10,20,18.78,199.7,9.52,10.09,200,20,5.47,0.06,
exp7,BASELINE,30,long,500,50,22.63,508.64,9.92,11.42,200,50,5.702,0.07,
exp7,BASELINE,31,short,10,20,32.06,220.17,9.9,11.13,200,20,6.113,0.06,
exp7,BASELINE,32,short,10,20,18.1,199.43,9.54,10.02,200,20,6.44,0.06,
exp7,BASELINE,33,short,10,20,20.93,203.8,9.62,10.06,200,20,6.632,0.06,
exp7,BASELINE,34,short,10,20,19.07,209.09,10.0,11.96,200,20,7.536,0.06,
exp7,BASELINE,36,short,10,20,27.91,229.57,10.61,11.1,200,20,7.856,0.06,
exp7,BASELINE,35,long,500,50,36.35,536.8,10.21,11.4,200,50,7.655,0.06,
exp7,BASELINE,37,short,10,20,18.67,200.36,9.56,10.17,200,20,8.298,0.07,
exp7,BASELINE,38,short,10,20,18.36,189.93,9.5,9.82,200,18,8.539,0.06,
exp7,BASELINE,39,short,10,20,18.78,171.07,9.48,9.86,200,16,9.034,0.06,
exp7,BASELINE,40,long,500,50,22.79,255.7,9.68,9.99,200,24,9.249,0.06,
exp7,BASELINE,41,short,10,20,18.39,218.36,10.52,12.0,200,20,9.554,0.06,
exp7,BASELINE,42,short,10,20,26.13,226.02,10.52,11.71,200,20,9.566,0.06,
exp7,BASELINE,43,short,10,20,33.88,239.25,10.81,12.73,200,20,9.63,0.06,
exp7,BASELINE,44,short,10,20,32.92,241.4,10.97,12.64,200,20,9.716,0.06,
exp7,BASELINE,46,short,10,20,31.68,239.57,10.94,12.62,200,20,9.803,0.06,
exp7,BASELINE,47,short,10,20,39.91,244.66,10.77,12.23,200,20,9.829,0.06,
exp7,BASELINE,48,short,10,20,35.51,236.42,10.57,10.91,200,20,9.911,0.06,
exp7,BASELINE,45,long,500,50,35.49,557.07,10.64,12.8,200,50,9.736,0.06,
